epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7608016729354858,0.8380171656608582,0.5591177344322205,1e-04,0.7334344983100891,0.7871878147125244,0.5205622315406799,0.6586058139801025,0.7018445730209351,0.0,0.0
1,0.8060905933380127,0.888265073299408,0.4628230333328247,1e-04,0.7836090922355652,0.822746992111206,0.5205622315406799,0.7046379446983337,1.2384567260742188,0.0,0.0
2,0.8288651704788208,0.9056767225265503,0.4268040359020233,1e-04,0.8080624341964722,0.8433767557144165,0.5205622315406799,0.7638083100318909,2.099567413330078,0.0,0.0
3,0.8287350535392761,0.9085654020309448,0.41666585206985474,1e-04,0.8172561526298523,0.827904462814331,0.5205622315406799,0.8181655406951904,2.035447120666504,0.0,0.0
4,0.8479958176612854,0.9223915338516235,0.38218045234680176,1e-04,0.8310526609420776,0.8572204113006592,0.529411792755127,0.8198875784873962,1.7705787420272827,1.0,0.01845819689333439
5,0.8516397476196289,0.9287390112876892,0.368025004863739,1e-04,0.834209144115448,0.8618349432945251,0.554398775100708,0.7981969714164734,1.5608713626861572,1.0,0.07057546079158783
6,0.8490369319915771,0.9307106733322144,0.3603675365447998,5e-05,0.8293319344520569,0.8626493215560913,0.6028110384941101,0.919297456741333,1.1349992752075195,0.9937499761581421,0.1726384311914444
7,0.8590577840805054,0.935527503490448,0.3491738736629486,5e-05,0.8396447896957397,0.8726927042007446,0.5908381342887878,0.9318837523460388,1.1047509908676147,1.0,0.1465798020362854
8,0.8571056723594666,0.9336010217666626,0.3563169538974762,5e-05,0.8424258232116699,0.8634636402130127,0.6590317487716675,0.9402123093605042,0.8401424288749695,0.996268630027771,0.2899022698402405
9,0.8642634153366089,0.9385718703269958,0.33693501353263855,5e-05,0.8498013019561768,0.8707926273345947,0.6080166697502136,0.9424408674240112,0.9423590302467346,0.9941176176071167,0.18349620699882507
10,0.8595783710479736,0.9368894100189209,0.3425944447517395,5e-05,0.8412365913391113,0.8716069459915161,0.6356064677238464,0.9441558718681335,0.885780394077301,0.9955157041549683,0.2410423457622528
